id_client,nom,prenom,email,date_naissance,sexe,ville,telephone,date_inscription,canal_acquisition
C00066,Berrada,Karim,karim.berrada66@mexora.ma,Nov 04 1969,m,Kénitra,0627710755,Mar 14 2026,Marketplace
C00067,Fassi,Imane,imane.fassi67@mexora.ma,Feb 10 1977,Homme,Al Hoceïma,0616376718,2025-02-03,Referral
C00068,Bennani,Amine,amine.bennani68@mexora.ma,05/26/1998,Femme,,0693691761,01/02/2025,Referral
C00069,Berrada,Yassine,yassine.berrada69@mexora.ma,23/03/1986,m,Casablanca,0645522841,12/09/2024,Mobile
C00070,Tahiri,Nadia,nadia.tahiri70@mexora.ma,03/03/1978,1,Meknès,0683693371,Mar 29 2025,Marketplace
C00071,Alaoui,Mehdi,mehdi.alaoui71@mexora.ma,Oct 23 1982,m,,0642707321,22-01-2026,Mobile
C00072,Tazi,Amine,amine.tazi72@mexora.ma,17-05-1995,Homme,Oujda,0680796038,03/14/2025,Mobile
C00073,Fassi,Hajar,hajar.fassi73@mexora.ma,Jan 03 1970,f,Fès,0686286740,Jul 11 2025,Web
C00074,Rifi,Imane,imane.rifi74@mexora.ma,03/02/1979,Male,Casablanca,0658220607,23-03-2024,Referral
C00075,Tazi,Imane,imane.tazi75@mexora.ma,04-01-1964,0,Fès,0687937048,06/05/2026,Web
C00076,Berrada,Mehdi,mehdi.berrada76@mexora.ma,03/04/1966,1,Nador,0668989222,09/11/2025,Referral
C00077,Berrada,Nadia,nadia.berrada77@mexora.ma,10/06/1993,Female,CASABLANCA,0636962747,2026-04-14,Mobile
C00078,Tahiri,Salma,salma.tahiri78@mexora.ma,23-12-2000,m,Tanger,0652121520,2024-04-16,Social Ads
C00079,Alaoui,Sara,sara.alaoui79@mexora.ma,1961-07-20,Femme,,0667488399,17/09/2025,Referral
C00080,Alaoui,Omar,omar.alaoui80@mexora.ma,Aug 11 1973,m,Fès,0698635696,2024-09-08,Referral
C00081,Mansouri,Hajar,hajar.mansouri81@mexora.ma,02/16/1965,Homme,RABAT,0636072302,2024-12-29,Marketplace
C00082,Tahiri,Yassine,yassine.tahiri82@mexora.ma,11/12/1994,0,Oujda,0663770443,09/24/2025,Mobile
C00083,Alaoui,Karim,karim.alaoui83@mexora.ma,05/22/1988,m,Tanger,0676609391,Dec 19 2025,Mobile
C00084,Mansouri,Nadia,imane.fassi67@mexora.ma,1981-11-14,1,Tetouan,0678125835,24/08/2024,Social Ads
C00085,Tahiri,Amine,amine.tahiri85@mexora.ma,Oct 11 2001,Homme,Al Hoceïma,0633398133,21/02/2025,Social Ads
C00086,Ziani,Mehdi,mehdi.ziani86@mexora.ma,09/08/1990,0,RABAT,0673648289,09/18/2025,Marketplace
C00087,Rifi,Karim,karim.rifi87@mexora.ma,Sep 15 1996,M,Tanger,0687075241,27/06/2025,Marketplace
C00088,El Amrani,Nadia,nadia.elamrani88@mexora.ma,Feb 24 1997,1,Marrakech,0673928197,28/01/2026,Social Ads
C00089,El Amrani,Omar,salma.tahiri78@mexora.ma,Oct 01 1963,Femme,Fès,0638404029,2025-10-25,Mobile
C00090,Bennani,Imane,imane.bennani90mexora.ma,11-08-1971,Femme,Meknès,0634543394,22/05/2025,Social Ads
C00091,Mansouri,Sara,sara.mansouri91@mexora.ma,01/25/1966,f,AL HOCEIMA,0626163716,20/02/2026,Mobile
C00092,El Amrani,Yassine,yassine.elamrani92@mexora.ma,14-06-1980,Female,Tétouan,0678791915,May 02 2025,Mobile
C00093,Bennani,Omar,omar.bennani93@mexora.ma,23-02-1982,f,Kénitra,0692862649,25-09-2025,Social Ads
C00094,Fassi,Yassine,,20/10/1978,m,rabat,0663916549,Oct 28 2024,Referral
C00095,Bennani,Nadia,nadia.bennani95@mexora.ma,16-11-1998,0,Casablanca,0661881060,22/03/2026,Web
C00096,Fassi,Yassine,yassine.fassi96@mexora.ma,25/09/1992,Homme,Tétouan,0681817463,Nov 14 2024,Mobile
C00097,Bennani,Nadia,nadia.bennani97@mexora.ma,18/10/2004,Male,Casablanca,0657863716,Jan 17 2025,Social Ads
C00098,Bennani,Mehdi,mehdi.bennani98@mexora.ma,06/17/1984,1,Rabat,0695956169,01/23/2025,Marketplace
C00099,Berrada,Amine,amine.berrada99@mexora.ma,20/10/1969,Femme,Rabat,0694806958,27-02-2024,Mobile
C00100,Alaoui,Amine,amine.alaoui100@mexora.ma,1989-04-08,1,Casablanca,0660055114,11-05-2024,Social Ads
C00101,Rifi,Yassine,yassine.rifi101@mexora.ma,03/04/2003,f,Casablanca,0628090063,2024-08-21,Social Ads
C00102,Bennani,Karim,karim.bennani102@mexora.ma,25/11/2004,Homme,Al Hoceïma,0670470912,07/10/2025,Marketplace
C00103,Alaoui,Sara,sara.alaoui103@mexora.ma,Aug 20 1992,Femme,Rabat,0657930208,2025-11-03,Mobile
C00104,Tahiri,Imane,imane.tahiri104@mexora.ma,1966-11-11,m,Marrakech,0653554562,12/22/2024,Web
C00105,Rifi,Hajar,hajar.rifi105@mexora.ma,Apr 15 1962,0,Casablanca,0633249278,2025-11-03,Social Ads
C00106,Mansouri,Salma,salma.mansouri106@mexora.ma,Sep 27 1965,1,Al Hoceïma,0685638166,Jan 14 2025,Referral
C00107,Bennani,Karim,karim.bennani107@mexora.ma,08/04/1986,Homme,Kénitra,0623780470,04-05-2024,Marketplace
C00108,Rifi,Salma,salma.rifi108@mexora.ma,06-12-1995,f,Oujda,0675953870,14-08-2025,Social Ads
C00109,Bennani,Amine,amine.bennani109@mexora.ma,21-04-1974,Femme,Marrakech,0670775210,13-06-2025,Marketplace
C00110,Tahiri,Salma,salma.tahiri110@mexora.ma,11/06/1986,0,Agadir,0636907552,03/09/2024,Social Ads
C00111,Tazi,Sara,sara.tazi111@mexora.ma,1985-01-14,Female,rabat,,07/02/2024,Social Ads
C00112,El Amrani,Yassine,yassine.elamrani112@mexora.ma,15/01/2006,Homme,Kénitra,0675755710,18-03-2025,Web
C00113,Alaoui,Nadia,nadia.alaoui113@mexora.ma,19-06-1971,Femme,Casablanca,0674546186,05-11-2025,Mobile
C00114,Berrada,Sara,sara.berrada114@mexora.ma,1982-11-06,Femme,Casablanca,0689131579,02/27/2026,Mobile
C00115,Tahiri,Imane,sara.berrada114@mexora.ma,21/09/1963,m,Fès,0646866007,11/10/2024,Web
C00116,Tazi,Amine,amine.tazi116mexora.ma,1996-01-04,0,Fès,0689159103,19/10/2024,Social Ads
C00117,Mansouri,Yassine,yassine.mansouri117@mexora.ma,19/11/1978,Femme,Tanger,0626244271,29-03-2026,Referral
C00118,Berrada,Salma,salma.berrada118@mexora.ma,04/18/1973,Homme,,0621389204,2024-06-27,Referral
C00119,Bennani,Karim,karim.bennani119@mexora.ma,Dec 06 2006,f,Fès,0635630761,24-08-2025,Web
C00120,El Amrani,Imane,imane.elamrani120@mexora.ma,03/23/1973,f,Oujda,0624033830,2024-01-13,Referral
C00121,Fassi,Sara,sara.fassi121@mexora.ma,Mar 22 1961,Male,Tanger,0638270524,02/15/2025,Referral
C00122,Tazi,Imane,imane.tazi122@mexora.ma,Jun 24 1962,0,Casablanca,0647924417,2026-02-06,Marketplace
C00123,Bennani,Nadia,nadia.bennani123@mexora.ma,1976-08-04,0,Tanger,0644450656,Mar 19 2025,Web
C00124,Tahiri,Salma,,1980-10-26,Male,Meknès,0655802758,08/09/2025,Referral
C00125,Fassi,Hajar,hajar.fassi125@mexora.ma,Feb 10 1962,Homme,AL HOCEIMA,0671190661,2025-02-09,Mobile
C00126,Rifi,Amine,amine.rifi126@mexora.ma,27/05/1974,m,Tanger,0677741413,08-10-2025,Social Ads
C00127,Alaoui,Omar,omar.alaoui127@mexora.ma,2001-07-27,f,Casablanca,0638071465,Apr 24 2025,Marketplace
C00128,Mansouri,Omar,omar.mansouri128@mexora.ma,13-02-2000,Femme,Tanger,0625705283,2026-02-19,Referral
C00129,Alaoui,Omar,omar.alaoui129@mexora.ma,Mar 10 1980,m,Casablanca,0686137149,2024-09-08,Web
C00130,El Amrani,Yassine,yassine.elamrani130@mexora.ma,18/05/1976,1,Casablanca,0651505334,15-06-2025,Marketplace
C00131,Tahiri,Nadia,,1971-04-01,Femme,casa,0623370904,Jul 10 2025,Mobile
C00132,El Amrani,Imane,imane.elamrani132@mexora.ma,06-04-1998,Femme,Marrakech,0628904250,2025-07-29,Mobile
C00133,El Amrani,Yassine,yassine.elamrani133@mexora.ma,1977-10-07,Femme,Marrakech,0697188074,07-11-2024,Web
C00134,El Amrani,Yassine,yassine.elamrani134@mexora.ma,06/15/1976,Homme,Tétouan,0661088996,Sep 30 2025,Mobile
C00135,Fassi,Imane,imane.fassi135@mexora.ma,2006-12-11,m,Tétouan,0610121089,10/02/2024,Referral
C00136,El Amrani,Nadia,nadia.elamrani136@mexora.ma,Aug 16 1985,m,Kénitra,0617939472,01/09/2026,Social Ads
C00137,Ziani,Mehdi,,04/13/1999,Homme,Tétouan,0699486605,Jun 02 2025,Social Ads
C00138,Tazi,Omar,omar.tazi138@mexora.ma,24-10-1988,M,Tnja,0618997122,Feb 11 2024,Marketplace
C00139,Alaoui,Mehdi,mehdi.alaoui139mexora.ma,Jan 13 1996,0,Casablanca,0684753259,01/11/2024,Mobile
C00140,Berrada,Sara,sara.berrada140@mexora.ma,28-04-1973,Female,Rabat,,Mar 18 2026,Social Ads
C00141,Rifi,Imane,imane.rifi141@mexora.ma,10/11/1963,Homme,Kénitra,0625652833,05/17/2024,Social Ads
C00142,Fassi,Karim,karim.fassi142@mexora.ma,27/06/2000,1,Rabat,0685623087,27/04/2024,Social Ads
C00143,El Amrani,Imane,imane.elamrani143@mexora.ma,May 17 2005,1,Tetouan,0681230106,03/10/2024,Mobile
C00144,Alaoui,Omar,omar.alaoui144@mexora.ma,10/16/1960,f,,0686058037,06-09-2025,Referral
C00145,Alaoui,Sara,sara.alaoui145@mexora.ma,15-12-1967,m,Casablanca,,2026-04-04,Web
C00146,Tahiri,Nadia,nadia.tahiri146@mexora.ma,28-09-1996,1,casa,0659359396,03/12/2024,Web
C00147,Berrada,Karim,karim.berrada147@mexora.ma,11/25/1983,f,Agadir,0652831675,10/16/2025,Marketplace
C00148,Mansouri,Mehdi,mehdi.mansouri148@mexora.ma,2006-03-10,Femme,Casablanca,0656298427,Jan 22 2026,Web
C00149,Tazi,Mehdi,mehdi.tazi149@mexora.ma,01/15/1964,f,Nador,0692031198,02/02/2024,Referral
C00150,Fassi,Yassine,yassine.fassi150@mexora.ma,Feb 01 1996,Femme,Marrakech,0610843900,06/25/2025,Mobile
C00151,Bennani,Karim,karim.bennani151@mexora.ma,Nov 06 1988,Homme,Fès,0681162462,04/24/2026,Social Ads
C00152,El Amrani,Karim,karim.elamrani152@mexora.ma,27/08/1981,f,Rabat,0610536990,30-07-2024,Mobile
C00153,Tazi,Yassine,yassine.tazi153@mexora.ma,1996-11-03,Femme,Tanger,0614513865,18/05/2025,Mobile
C00154,Ziani,Sara,sara.ziani154@mexora.ma,1996-01-14,Male,Meknès,0650760218,01-04-2025,Web
C00155,Bennani,Hajar,hajar.bennani155@mexora.ma,Aug 27 1980,Homme,Rabat,0671793062,Mar 17 2026,Web
C00156,Mansouri,Sara,sara.mansouri156@mexora.ma,Dec 27 2005,M,Agadir,0661077841,02/10/2026,Social Ads
C00157,Bennani,Omar,omar.bennani157@mexora.ma,1987-08-26,Homme,Fès,0657840888,19-10-2024,Referral
C00158,Rifi,Mehdi,mehdi.rifi158@mexora.ma,23-01-1985,Femme,Tanger,0685814743,03/01/2026,Mobile
C00159,Ziani,Amine,amine.ziani159@mexora.ma,11/24/1962,f,,0652553854,Jan 23 2026,Marketplace
C00160,Tahiri,Sara,sara.tahiri160@mexora.ma,Nov 22 1990,1,RABAT,0658974240,10/02/2025,Social Ads
C00161,Fassi,Salma,salma.fassi161@mexora.ma,Sep 21 2006,m,Marrakech,0648667951,2024-06-30,Web
C00162,Mansouri,Karim,karim.mansouri162@mexora.ma,Jan 02 1968,0,Marrakech,0633958974,06/08/2024,Web
C00163,El Amrani,Sara,sara.elamrani163@mexora.ma,13-08-1985,Homme,Tanger,0676211909,2025-02-13,Web
C00164,Alaoui,Salma,,2002-04-05,1,,0669684280,2024-05-15,Referral
C00165,Fassi,Nadia,nadia.fassi165mexora.ma,15-07-2004,Femme,Tnja,0625112600,01/13/2026,Marketplace
C00166,Bennani,Nadia,,08/20/1987,0,Rabat,0637246389,2026-04-29,Referral
C00167,Ziani,Omar,omar.ziani167@mexora.ma,22/11/1968,1,Oujda,,22/07/2024,Referral
C00168,Rifi,Mehdi,mehdi.rifi168@mexora.ma,22/10/1994,f,Casablanca,0646972466,09/01/2025,Marketplace
C00169,Fassi,Sara,sara.fassi169@mexora.ma,Jan 12 1986,Homme,Fès,0634669387,09/02/2026,Mobile
C00170,Ziani,Imane,imane.ziani170mexora.ma,1992-02-16,Femme,Agadir,0620939682,May 08 2025,Referral
C00171,Tahiri,Omar,omar.tahiri171@mexora.ma,2003-05-24,Femme,Rabat,0653570966,20/01/2026,Marketplace
C00172,Mansouri,Hajar,hajar.mansouri172@mexora.ma,17/01/1990,f,Rabat,0667185863,04/11/2026,Web
C00173,Ziani,Nadia,nadia.ziani173@mexora.ma,Jan 13 1974,Female,Rabat,0679858710,01/19/2025,Referral
C00174,Bennani,Yassine,yassine.bennani174@mexora.ma,1989-08-14,1,Tanger,0649251996,Nov 29 2025,Referral
C00175,Fassi,Mehdi,mehdi.fassi175@mexora.ma,06-08-1975,1,Marrakech,0621749163,03/28/2025,Mobile
C00176,Berrada,Yassine,yassine.berrada176@mexora.ma,Dec 05 1989,Homme,Fès,0628468923,02/20/2025,Social Ads
C00177,Bennani,Nadia,nadia.bennani177@mexora.ma,20/05/1962,0,Meknès,0623001533,22/04/2024,Web
C00178,El Amrani,Omar,omar.elamrani178@mexora.ma,1997-10-15,1,Meknès,0622063392,06-08-2024,Referral
C00179,Fassi,Mehdi,mehdi.fassi179@mexora.ma,10/09/1961,Homme,Tanger,0694731816,18-08-2025,Marketplace
C00180,Ziani,Hajar,hajar.ziani180@mexora.ma,May 17 1967,Femme,Casablanca,0626483991,2025-01-05,Referral
C00181,Mansouri,Yassine,yassine.mansouri181@mexora.ma,Feb 22 1976,Homme,Rabat,0691027748,2025-01-15,Web
C00182,Bennani,Salma,salma.bennani182@mexora.ma,1962-07-12,0,Rabat,0625628653,01-01-2025,Web
C00183,Mansouri,Hajar,hajar.mansouri183@mexora.ma,02-01-1962,m,Agadir,,Oct 26 2024,Mobile
C00184,Ziani,Hajar,hajar.ziani184@mexora.ma,08/21/1960,Femme,Casablanca,0612801313,Apr 29 2024,Mobile
C00185,Rifi,Yassine,yassine.rifi185@mexora.ma,04/09/1983,f,Tanger,0620068460,07-04-2024,Mobile
C00186,Tazi,Salma,salma.tazi186@mexora.ma,05/03/2002,Homme,Al Hoceïma,0660654123,2026-02-23,Marketplace
C00187,Alaoui,Nadia,nadia.alaoui187@mexora.ma,24-03-2004,0,Tétouan,0647585370,2025-11-14,Mobile
C00188,Mansouri,Mehdi,mehdi.mansouri188@mexora.ma,1970-06-23,0,Tanger,0686657695,2024-02-01,Social Ads
C00189,Mansouri,Hajar,hajar.mansouri189@mexora.ma,06/18/1987,m,Fès,0695671876,Jun 21 2025,Mobile
C00190,Ziani,Amine,amine.ziani190@mexora.ma,08-12-2000,1,Casablanca,0676177196,Apr 25 2025,Referral
C00191,El Amrani,Yassine,yassine.elamrani191@mexora.ma,1964-11-07,1,Tanger,0633378949,05/14/2025,Mobile
C00192,Tahiri,Yassine,yassine.tahiri192@mexora.ma,08-12-1994,1,Kénitra,0699865444,12/29/2025,Marketplace
C00193,Berrada,Amine,amine.berrada193@mexora.ma,09/28/2003,1,Agadir,0699056100,2025-09-02,Mobile
C00194,Alaoui,Omar,omar.alaoui194@mexora.ma,02/11/1962,1,Fès,0659182491,17-07-2025,Marketplace
C00195,Tazi,Karim,sara.alaoui103@mexora.ma,25/05/1963,1,casa,0690616955,02/04/2026,Social Ads
C00196,El Amrani,Imane,imane.elamrani196@mexora.ma,02/03/1969,f,Meknès,,04/10/2025,Social Ads
C00197,Rifi,Omar,omar.rifi197@mexora.ma,08/15/1990,1,Marrakech,0624478394,05/26/2025,Referral
C00198,Alaoui,Yassine,yassine.alaoui198@mexora.ma,15/11/1973,m,Agadir,0678819426,Nov 18 2024,Web
C00199,Ziani,Mehdi,mehdi.ziani199@mexora.ma,07/25/1971,1,Casablanca,0698929194,04/01/2026,Social Ads
C00200,Bennani,Sara,sara.bennani200@mexora.ma,2005-06-21,Femme,Casablanca,0657262456,2024-10-03,Social Ads
C00201,Fassi,Salma,salma.fassi201@mexora.ma,Jun 17 2004,1,Fès,,2024-03-05,Social Ads
C00202,Tahiri,Hajar,yassine.tahiri51@mexora.ma,Oct 08 1994,Femme,tanger,0689312152,02/13/2024,Marketplace
C00203,Mansouri,Nadia,nadia.mansouri203@mexora.ma,1975-10-10,Homme,Tangier,0664312211,Jul 09 2024,Referral
C00204,El Amrani,Mehdi,mehdi.elamrani204@mexora.ma,10/20/2005,f,Rabat,0691656204,03/16/2025,Social Ads
C00205,Berrada,Sara,sara.berrada205@mexora.ma,14-07-1962,f,Meknès,0632142665,02/17/2024,Marketplace
C00206,Fassi,Sara,sara.fassi206@mexora.ma,02-01-1966,Femme,CASABLANCA,,24-08-2024,Referral
C00207,Tahiri,Mehdi,salma.tazi39@mexora.ma,Mar 18 1969,Homme,Tétouan,0650159831,05-12-2024,Referral
C00208,El Amrani,Yassine,yassine.elamrani208@mexora.ma,Feb 23 1972,m,Tanger,0650561290,2024-06-04,Web
C00209,Rifi,Imane,imane.rifi209@mexora.ma,18-04-2002,0,Rabat,0695995713,16/09/2025,Marketplace
C00210,Tahiri,Amine,,Feb 10 1991,Homme,Tanger,0657788584,07/23/2025,Referral
C00211,Fassi,Karim,karim.fassi211@mexora.ma,27-04-1991,Homme,Fès,0658924533,01/04/2024,Referral
C00212,Tahiri,Imane,imane.tahiri212@mexora.ma,17-11-1968,m,Tetouan,0636347483,01/28/2024,Web
C00213,Tahiri,Sara,hajar.ziani184@mexora.ma,28/11/2000,Femme,Agadir,0698343306,Nov 06 2024,Mobile
C00214,Fassi,Omar,omar.fassi214@mexora.ma,1960-09-09,f,Oujda,0654343638,11/07/2025,Marketplace
C00215,El Amrani,Omar,omar.elamrani215@mexora.ma,18-10-1972,0,Tétouan,0621943517,18-06-2025,Marketplace
C00216,Mansouri,Yassine,yassine.mansouri216mexora.ma,17-04-1984,Femme,Oujda,0636130095,03/03/2024,Marketplace
C00217,Rifi,Salma,salma.rifi217@mexora.ma,10/07/1983,0,Agadir,0645007088,2024-12-26,Marketplace
C00218,Ziani,Sara,sara.ziani218@mexora.ma,1998-10-20,0,Al Hoceïma,0697988500,06-12-2025,Mobile
C00219,Berrada,Imane,imane.berrada219@mexora.ma,1967-08-15,f,Tétouan,0663590537,Aug 09 2024,Social Ads
C00220,Fassi,Mehdi,mehdi.fassi220@mexora.ma,05/12/1971,M,Tétouan,0689384087,Jun 07 2024,Marketplace
C00221,Fassi,Imane,imane.fassi221@mexora.ma,Feb 13 1974,F,Fès,0633566357,29/10/2024,Mobile
C00222,Tahiri,Salma,salma.tahiri222@mexora.ma,25-08-2004,Homme,Kénitra,0667015811,03/20/2025,Referral
C00223,Bennani,Imane,imane.bennani223@mexora.ma,03-11-1974,Femme,Kénitra,0661424531,11/13/2024,Mobile
C00224,Tazi,Yassine,yassine.tazi224@mexora.ma,02-12-1989,Homme,Fès,0678744137,14/07/2024,Web
